run_id,game_name,opponent,opponent_race,map,outcome,scbw_exit_code,launched_at,finished_at,game_time_sec,jar_version,git_rev,frozen,telemetry_flag,telemetry_status,plan_flag,result_winner,result_is_crashed,result_realtime_outed,score_self_is_winner,score_self_building,score_self_kill,score_self_razing,score_self_unit,score_opp_is_winner,score_opp_building,score_opp_kill,score_opp_razing,score_opp_unit,econ_samples,econ_last_frame,econ_minerals_gathered,econ_minerals_spent,econ_gas_gathered,econ_gas_spent,econ_supply_used_peak,econ_supply_total_peak,econ_frame_time_avg,econ_frame_time_max,record_timestamp,record_is_winner,record_num_starting_locations,record_opener,record_build_order,record_detected_strategies,record_frame_count,observed_game_id,observed_build_order,observed_is_winner,observed_end_frame,observed_average_fps,observed_engagement_count,observed_our_units_lost,observed_our_supply_lost,observed_enemy_units_killed,observed_enemy_supply_killed,observed_enemy_destroyed,observed_sample_interval_frames,observed_contact_radius_px,observed_merge_radius_px,observed_close_cooldown_frames,truth_self_created,truth_self_destroyed,truth_self_events,truth_opp_created,truth_opp_destroyed,truth_opp_types,truth_opp_events,truth_opp_last_frame,plan_events,plan_enqueued,plan_transitions,plan_completed,plan_cancelled,plan_units,plan_buildings,plan_tech,plan_upgrades,plan_queue_depth_peak,plan_last_frame,learn_opener,learn_build_order,learn_detected_strategies,learn_is_winner,learn_frame_count
20260904-031526,KU4HQ01G,MadMixR,Random,(4)Jade.scx,LOSS,0,2026-09-04T03:26:02,2026-09-04T03:31:05,301.6,0.63,6e32a9d,False,True,ok,True,MadMixR,False,False,False,4710,29150,1350,27950,True,13915,50365,15030,32600,1481,35544,27142,26850,8352,7575,141,200,2.734,7514.0,1788517854688,false,4,12Pool,CrazyZerg,EarlyRush;1Base,35559,023de72a-67fe-4d5d-8afa-1d80ec24f940,CrazyZerg,0,35559,236.6940,78,285,412,113,334,146,8,320,512,240,117,454,6201,467,162,32,5161,35560,11305,2600,8705,393,2539,2002,87,502,9,28,35559,12Pool,CrazyZerg,EarlyRush;1Base,false,35559
20260904-031526,KU4HQ071,Tomas Cere,Protoss,(2)Destination.scx,WIN,0,2026-09-04T03:26:07,2026-09-04T03:29:20,190.8,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,375,2800,3375,1500,False,1125,550,0,1400,368,8832,1618,1450,0,0,37,50,3.285,7681.0,1788517750569,true,2,4Pool,4Pool,1Base,8837,ad6612f4-3812-4163-b14d-28cb6cf4c9ef,4Pool,1,8837,34.4743,7,12,12,24,56,30,8,320,512,240,25,11,358,31,31,7,308,8790,177,30,147,24,0,29,1,0,0,7,8837,4Pool,4Pool,1Base,true,8837
20260904-031526,KU4HQ003,Dave Churchill,Random,(3)NeoMoonGlaive.scx,LOSS,0,2026-09-04T03:26:31,2026-09-04T03:30:27,235.1,0.63,6e32a9d,False,True,ok,True,Dave Churchill,False,False,False,1120,500,0,4300,True,2275,7750,3360,8450,750,18000,5210,5200,432,100,52,70,2.774,8620.0,1788517820795,false,3,Overpool,SpeedlingAllIn,EarlyRush;1Base;2Gate,18013,248c045f-aa03-405d-8905-bad77f3d8d33,SpeedlingAllIn,0,18013,194.9976,18,116,116,3,10,3,8,320,512,240,63,135,1462,121,3,8,1433,18021,888,107,781,86,14,92,14,0,1,17,18013,Overpool,SpeedlingAllIn,EarlyRush;1Base;2Gate,false,18013
20260904-031526,KU4HQ049,Ecgberht,Terran,(4)Roadrunner.scx,NO_RESULT,1,2026-09-04T03:28:26,2026-09-04T03:31:13,,0.63,6e32a9d,False,True,missing,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
20260904-031526,KU4HQ02W,liongis,Zerg,(4)CircuitBreaker.scx,LOSS,0,2026-09-04T03:28:58,2026-09-04T03:31:35,155.1,0.63,6e32a9d,False,True,ok,True,liongis,False,False,False,375,250,0,1200,True,780,1500,1125,2000,315,7560,1394,1250,0,0,27,34,2.646,6193.0,1788517885624,false,4,4Pool,4Pool,1Base,7566,3c587221-2f9a-4aec-95b3-07391ec46a58,4Pool,0,7566,211.8402,8,22,22,4,5,4,8,320,512,240,21,28,599,25,5,8,481,7591,222,57,165,20,42,29,28,0,0,11,7566,4Pool,4Pool,1Base,false,7566
20260904-031526,KU4HQ05M,WillBot,Random,(4)CircuitBreaker.scx,WIN,0,2026-09-04T03:29:00,2026-09-04T03:35:46,404.3,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,6720,68300,11595,71800,False,4515,109875,5880,32650,1820,43680,62426,59200,19528,16500,290,338,4.457,6201.0,1788518136579,true,4,Overpool,CrazyZerg,1Base,43681,2baec114-738b-441d-b0be-61a747291418,CrazyZerg,1,43681,100.7864,71,1053,1417,411,878,545,8,320,512,240,485,1046,17528,552,540,23,9682,43647,11945,2354,9591,844,1759,760,75,1505,14,43,43681,Overpool,CrazyZerg,1Base,true,43681
20260904-031526,KU4HQ072,Tomas Cere,Protoss,(2)HeartbreakRidge.scx,WIN,0,2026-09-04T03:29:20,2026-09-04T03:32:04,163.0,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,375,3400,3375,1600,False,1125,600,0,1700,404,9696,1586,1550,0,0,40,50,2.471,7017.0,1788517915464,true,2,4Pool,4Pool,1Base,9705,a536d78b-2de2-4ed7-b2b8-f54269382b91,4Pool,1,9705,87.3945,7,10,10,30,68,36,8,320,512,240,26,11,411,37,37,7,328,9654,428,32,396,26,0,31,1,0,0,8,9705,4Pool,4Pool,1Base,true,9705
20260904-031526,KU4HQ08F,VOID,Terran,(4)Icarus.scm,LOSS,0,2026-09-04T03:30:00,2026-09-04T03:32:48,165.8,0.63,6e32a9d,False,True,ok,True,VOID,False,False,False,1655,4250,0,4450,True,2840,6250,5865,4575,621,14904,6634,6438,1168,638,65,134,2.185,6963.0,1788517957524,false,4,12Hatch,CrazyZerg,1Base,14913,c643d28a-2390-4e8c-913d-c6062889e219,CrazyZerg,0,14913,290.1711,14,50,50,36,72,37,8,320,512,240,30,99,1056,106,37,19,1079,14914,1158,139,1019,91,32,114,23,0,2,35,14913,12Hatch,CrazyZerg,1Base,false,14913
20260904-031526,KU4HQ004,Dave Churchill,Random,(3)TauCross.scx,LOSS,0,2026-09-04T03:30:27,2026-09-04T03:33:17,168.8,0.63,6e32a9d,False,True,ok,True,Dave Churchill,False,False,False,1155,600,0,2450,True,1040,4100,3465,3200,444,10656,3802,3575,680,350,46,68,2.594,7799.0,1788517988906,false,3,Overpool,2HatchMuta,1Base,10666,c170a8f4-fe91-4ebb-b751-0d4ad46fb0a5,2HatchMuta,0,10666,134.6418,6,22,22,6,12,6,8,320,512,240,20,56,629,81,6,6,606,10667,701,124,577,52,53,104,18,0,2,53,10666,Overpool,2HatchMuta,1Base,false,10666
20260904-031526,KU4HQ01H,MadMixR,Random,(4)LaMancha1.1.scx,LOSS,0,2026-09-04T03:31:05,2026-09-04T03:34:07,181.0,0.63,6e32a9d,False,True,ok,True,MadMixR,False,False,False,1260,0,0,1875,True,2300,2400,3780,4700,498,11952,2994,2975,328,175,42,52,2.651,7067.0,1788518036380,false,4,12Pool,3HatchHydra,1Base,11968,0a38350e-d600-482b-a814-b9a590f346bb,3HatchHydra,0,11968,274.9363,6,11,12,0,0,0,8,320,512,240,11,36,474,100,0,11,473,11981,516,107,409,40,52,79,23,0,5,35,11968,12Pool,3HatchHydra,1Base,false,11968
